mission,direction,heure_re_sceaux,delta_sceaux,heure_re_antony,delta_antony,heure_re_bourg_la_reine,delta_bourg_la_reine,heure_re_chatelet,delta_chatelet,heure_re_aulnay,delta_aulnay,heure_re_cdg1,delta_cdg1,heure_re_vert_galant,delta_vert_galant
EMMY21,Nord,,,2026-04-17 08:36:20+02:00,4.0,2026-04-17 08:40:57+02:00,3.0,2026-04-17 09:01:39+02:00,3.0,2026-04-17 09:24:10+02:00,6.0,2026-04-17 09:38:00+02:00,6.0,,
IVIS23,Nord,,,2026-04-17 08:38:55+02:00,3.0,2026-04-17 08:43:37+02:00,3.0,2026-04-17 09:04:39+02:00,3.0,2026-04-17 09:27:20+02:00,3.0,,,2026-04-17 09:33:30+02:00,11.0
ELOI25,Nord,2026-04-17 08:44:38+02:00,12.0,,,2026-04-17 08:46:36+02:00,3.0,2026-04-17 09:07:39+02:00,3.0,2026-04-17 09:30:10+02:00,3.0,2026-04-17 09:44:00+02:00,6.0,,
GUIZ27,Nord,,,2026-04-17 08:44:14+02:00,5.0,2026-04-17 08:49:57+02:00,3.0,2026-04-17 09:10:39+02:00,3.0,,,,,,
EMMY29,Nord,,,2026-04-17 08:48:20+02:00,4.0,2026-04-17 08:52:57+02:00,3.0,2026-04-17 09:13:39+02:00,3.0,2026-04-17 09:36:10+02:00,6.0,2026-04-17 09:50:00+02:00,6.0,,
IVIS31,Nord,,,2026-04-17 08:50:55+02:00,3.0,2026-04-17 08:55:37+02:00,3.0,2026-04-17 09:16:39+02:00,3.0,2026-04-17 09:39:20+02:00,3.0,,,2026-04-17 09:45:30+02:00,12.0
ELOI33,Nord,2026-04-17 08:56:38+02:00,12.0,,,2026-04-17 08:58:36+02:00,3.0,2026-04-17 09:19:39+02:00,3.0,2026-04-17 09:42:10+02:00,3.0,2026-04-17 09:56:00+02:00,6.0,,
IRUS35,Nord,,,2026-04-17 08:56:14+02:00,5.0,2026-04-17 09:01:57+02:00,3.0,2026-04-17 09:22:39+02:00,3.0,2026-04-17 09:45:20+02:00,3.0,,,2026-04-17 09:51:30+02:00,6.0
EMMY37,Nord,,,2026-04-17 09:00:20+02:00,4.0,2026-04-17 09:04:57+02:00,3.0,2026-04-17 09:25:39+02:00,3.0,2026-04-17 09:48:10+02:00,3.0,2026-04-17 10:02:00+02:00,6.0,,
ELOI39,Nord,2026-04-17 09:08:38+02:00,12.0,,,2026-04-17 09:10:36+02:00,6.0,2026-04-17 09:31:39+02:00,6.0,2026-04-17 09:54:10+02:00,6.0,2026-04-17 10:08:00+02:00,6.0,,
IDOR41,Nord,,,2026-04-17 09:10:54+02:00,11.0,2026-04-17 09:16:47+02:00,6.0,2026-04-17 09:37:39+02:00,6.0,2026-04-17 10:00:20+02:00,6.0,,,2026-04-17 10:06:30+02:00,15.0
EPAF43,Nord,,,2026-04-17 09:19:59+02:00,9.0,2026-04-17 09:24:26+02:00,8.0,2026-04-17 09:40:49+02:00,3.0,2026-04-17 10:03:10+02:00,3.0,2026-04-17 10:16:50+02:00,9.0,,
EPAF49,Nord,,,2026-04-17 09:34:59+02:00,15.0,2026-04-17 09:39:26+02:00,15.0,2026-04-17 09:55:49+02:00,15.0,2026-04-17 10:18:10+02:00,15.0,2026-04-17 10:31:50+02:00,15.0,,
ECCO45,Nord,,,,,,,,,2026-04-17 07:30:47+02:00,7.0,2026-04-17 07:44:37+02:00,12.0,,
ICAR35,Nord,,,,,,,,,,,,,2026-04-17 07:12:50+02:00,
ECCO33,Nord,,,,,,,,,,,2026-04-17 07:20:30+02:00,7.0,,
ELAN37,Nord,,,,,,,,,2026-04-17 07:12:46+02:00,,2026-04-17 07:26:36+02:00,6.0,,
ELAN31,Nord,,,,,,,,,,,2026-04-17 07:14:00+02:00,,,
ECCO39,Nord,,,,,,,,,2026-04-17 07:18:10+02:00,5.0,2026-04-17 07:32:34+02:00,6.0,,
ISOL41,Nord,,,,,,,,,2026-04-17 07:24:16+02:00,6.0,,,2026-04-17 07:30:26+02:00,18.0
GEDO43,Nord,,,,,,,,,,,,,,
KLEE44,Sud,,,2026-04-17 07:38:01+02:00,4.0,2026-04-17 07:32:20+02:00,3.0,2026-04-17 07:11:37+02:00,,,,,,,
STIN46,Sud,2026-04-17 07:37:46+02:00,10.0,,,2026-04-17 07:35:34+02:00,3.0,2026-04-17 07:16:07+02:00,5.0,,,,,,
PAUL48,Sud,,,2026-04-17 07:43:34+02:00,6.0,2026-04-17 07:38:44+02:00,3.0,2026-04-17 07:16:57+02:00,1.0,,,,,,
LORE50,Sud,,,2026-04-17 07:46:43+02:00,3.0,2026-04-17 07:41:53+02:00,3.0,2026-04-17 07:21:37+02:00,5.0,,,,,,
KLEE52,Sud,,,2026-04-17 07:54:55+02:00,8.0,2026-04-17 07:49:14+02:00,0.0,2026-04-17 07:26:45+02:00,5.0,,,,,,
STIN54,Sud,2026-04-17 07:51:22+02:00,14.0,,,2026-04-17 07:49:10+02:00,7.0,2026-04-17 07:27:41+02:00,1.0,,,,,,
PAUL56,Sud,,,2026-04-17 08:00:19+02:00,5.0,2026-04-17 07:55:29+02:00,6.0,2026-04-17 07:33:49+02:00,6.0,2026-04-17 07:11:32+02:00,,,,,
LORE58,Sud,,,2026-04-17 08:02:19+02:00,2.0,2026-04-17 07:57:29+02:00,2.0,2026-04-17 07:35:46+02:00,2.0,2026-04-17 07:11:34+02:00,0.0,,,,
KLEE60,Sud,,,2026-04-17 08:07:23+02:00,5.0,2026-04-17 08:01:42+02:00,4.0,2026-04-17 07:41:07+02:00,5.0,2026-04-17 07:17:47+02:00,1.0,,,2026-04-17 07:09:55+02:00,
STIN62,Sud,2026-04-17 08:08:57+02:00,18.0,,,2026-04-17 08:06:45+02:00,5.0,2026-04-17 07:46:37+02:00,6.0,2026-04-17 07:16:47+02:00,5.0,,,,
PAUL64,Sud,,,2026-04-17 08:13:55+02:00,7.0,2026-04-17 08:09:05+02:00,2.0,2026-04-17 07:47:42+02:00,1.0,2026-04-17 07:21:50+02:00,4.0,,,2026-04-17 07:15:00+02:00,5.0
LORE66,Sud,,,2026-04-17 08:18:26+02:00,5.0,2026-04-17 08:13:36+02:00,5.0,2026-04-17 07:52:13+02:00,5.0,2026-04-17 07:25:10+02:00,3.0,,,,
STIN70,Sud,2026-04-17 08:18:57+02:00,10.0,,,2026-04-17 08:16:45+02:00,3.0,2026-04-17 07:56:07+02:00,4.0,2026-04-17 07:28:30+02:00,3.0,2026-04-17 07:14:00+02:00,,,
PAUL72,Sud,,,2026-04-17 08:23:51+02:00,5.0,2026-04-17 08:19:01+02:00,2.0,2026-04-17 07:57:33+02:00,1.0,2026-04-17 07:30:51+02:00,2.0,,,2026-04-17 07:24:00+02:00,9.0
LORE74,Sud,,,2026-04-17 08:27:00+02:00,3.0,2026-04-17 08:22:10+02:00,3.0,2026-04-17 08:01:37+02:00,4.0,2026-04-17 07:33:50+02:00,3.0,2026-04-17 07:20:00+02:00,6.0,,
