mission,direction,heure_th_sceaux,delta_sceaux,heure_th_antony,delta_antony,heure_th_bourg_la_reine,delta_bourg_la_reine,heure_th_chatelet,delta_chatelet,heure_th_aulnay,delta_aulnay,heure_th_cdg1,delta_cdg1,heure_th_vert_galant,delta_vert_galant
EMMY29,Nord,,,2026-04-16 08:48:40+02:00,4.0,2026-04-16 08:53:17+02:00,3.0,2026-04-16 09:14:00+02:00,3.0,2026-04-16 09:36:10+02:00,6.0,2026-04-16 09:50:00+02:00,6.0,,
IVIS31,Nord,,,2026-04-16 08:51:15+02:00,3.0,2026-04-16 08:56:07+02:00,3.0,2026-04-16 09:17:00+02:00,3.0,2026-04-16 09:39:20+02:00,3.0,,,2026-04-16 09:45:30+02:00,12.0
ELOI33,Nord,2026-04-16 08:56:48+02:00,12.0,,,2026-04-16 08:59:06+02:00,3.0,2026-04-16 09:20:00+02:00,3.0,2026-04-16 09:42:10+02:00,3.0,2026-04-16 09:56:00+02:00,6.0,,
IRUS35,Nord,,,2026-04-16 08:56:39+02:00,5.0,2026-04-16 09:02:17+02:00,3.0,2026-04-16 09:23:00+02:00,3.0,2026-04-16 09:45:20+02:00,3.0,,,2026-04-16 09:51:30+02:00,6.0
EMMY37,Nord,,,2026-04-16 09:00:40+02:00,4.0,2026-04-16 09:05:17+02:00,3.0,2026-04-16 09:26:00+02:00,3.0,2026-04-16 09:48:10+02:00,3.0,2026-04-16 10:02:00+02:00,6.0,,
ELOI39,Nord,2026-04-16 09:08:48+02:00,12.0,,,2026-04-16 09:11:06+02:00,6.0,2026-04-16 09:32:00+02:00,6.0,2026-04-16 09:54:10+02:00,6.0,2026-04-16 10:08:00+02:00,6.0,,
IDOR41,Nord,,,2026-04-16 09:11:24+02:00,11.0,2026-04-16 09:17:17+02:00,6.0,2026-04-16 09:38:00+02:00,6.0,2026-04-16 10:00:20+02:00,6.0,,,2026-04-16 10:06:30+02:00,15.0
EPAF43,Nord,,,2026-04-16 09:20:19+02:00,9.0,2026-04-16 09:24:46+02:00,7.0,2026-04-16 09:41:00+02:00,3.0,2026-04-16 10:03:10+02:00,3.0,2026-04-16 10:16:50+02:00,9.0,,
ILOT45,Nord,2026-04-16 09:24:38+02:00,16.0,,,2026-04-16 09:26:41+02:00,2.0,2026-04-16 09:47:00+02:00,6.0,2026-04-16 10:09:20+02:00,6.0,,,2026-04-16 10:15:30+02:00,9.0
ERIC47,Nord,,,2026-04-16 09:27:09+02:00,7.0,2026-04-16 09:32:47+02:00,6.0,2026-04-16 09:53:00+02:00,6.0,2026-04-16 10:12:10+02:00,3.0,2026-04-16 10:24:30+02:00,8.0,,
EPAF49,Nord,,,2026-04-16 09:35:19+02:00,8.0,2026-04-16 09:39:46+02:00,7.0,2026-04-16 09:56:00+02:00,3.0,2026-04-16 10:18:10+02:00,6.0,2026-04-16 10:31:50+02:00,7.0,,
ILOT51,Nord,2026-04-16 09:39:38+02:00,15.0,,,2026-04-16 09:41:41+02:00,2.0,2026-04-16 10:02:00+02:00,6.0,2026-04-16 10:24:20+02:00,6.0,,,2026-04-16 10:30:30+02:00,15.0
