mission,robinson,fontenay_aux_roses,sceaux,saint_remy_les_chevreuse,courcelle_sur_yvette,gif_sur_yvette,la_hacquiniere,bures_sur_yvette,orsay_ville,le_guichet,lozere,palaiseau_villebon,palaiseau,massy_palaiseau,massy_verrieres,les_baconnets,fontaine_michalon,antony,la_croix_de_berny,parc_de_sceaux,bourg_la_reine,bagneux,arcueil_cachan,laplace,gentilly,cite_universitaire,denfert_rochereau,port_royal,luxembourg,saint_michel_notre_dame,chatelet_les_halles,gare_du_nord,la_plaine_stade_de_france,la_courneuve_aubervilliers,le_bourget,drancy,le_blanc_mesnil,aulnay_sous_bois,sevran_beaudottes,villepinte,parc_des_expositions,aeroport_cdg_1_rer,aeroport_charles_de_gaulle_2,sevran_livry,vert_galant,villeparisis_mitry_le_neuf,mitry_claye,date_observation
IVIS07,,,,,2026-04-15 07:51:03+02:00,2026-04-15 07:54:10+02:00,2026-04-15 07:56:06+02:00,2026-04-15 07:57:58+02:00,2026-04-15 08:00:48+02:00,2026-04-15 08:03:07+02:00,,,2026-04-15 08:07:38+02:00,2026-04-15 08:10:20+02:00,,,,2026-04-15 08:15:15+02:00,2026-04-15 08:17:06+02:00,,2026-04-15 08:20:07+02:00,2026-04-15 08:22:36+02:00,2026-04-15 08:24:26+02:00,2026-04-15 08:26:29+02:00,2026-04-15 08:28:16+02:00,2026-04-15 08:30:12+02:00,2026-04-15 08:33:02+02:00,2026-04-15 08:34:49+02:00,2026-04-15 08:36:23+02:00,2026-04-15 08:38:59+02:00,2026-04-15 08:41:00+02:00,2026-04-15 08:45:00+02:00,2026-04-15 08:50:10+02:00,2026-04-15 08:52:40+02:00,2026-04-15 08:55:50+02:00,2026-04-15 08:58:30+02:00,2026-04-15 09:00:40+02:00,2026-04-15 09:03:20+02:00,,,,,,2026-04-15 09:06:40+02:00,2026-04-15 09:09:30+02:00,2026-04-15 09:12:40+02:00,,2026-04-15 07:50:04.202014+02:00
ELOI01,2026-04-15 08:04:33+02:00,2026-04-15 08:07:04+02:00,2026-04-15 08:08:48+02:00,,,,,,,,,,,,,,,,,,2026-04-15 08:11:06+02:00,2026-04-15 08:13:41+02:00,2026-04-15 08:15:26+02:00,2026-04-15 08:17:29+02:00,2026-04-15 08:19:16+02:00,2026-04-15 08:21:12+02:00,2026-04-15 08:24:02+02:00,2026-04-15 08:25:49+02:00,2026-04-15 08:27:23+02:00,2026-04-15 08:29:59+02:00,2026-04-15 08:32:00+02:00,2026-04-15 08:36:00+02:00,2026-04-15 08:41:10+02:00,2026-04-15 08:43:40+02:00,2026-04-15 08:46:50+02:00,2026-04-15 08:49:30+02:00,2026-04-15 08:51:40+02:00,2026-04-15 08:54:10+02:00,2026-04-15 08:57:30+02:00,2026-04-15 09:00:00+02:00,2026-04-15 09:02:20+02:00,2026-04-15 09:08:00+02:00,,,,,,2026-04-15 07:50:04.202014+02:00
IVAN67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 07:50:10+02:00,2026-04-15 07:52:40+02:00,2026-04-15 07:55:50+02:00,2026-04-15 07:58:30+02:00,2026-04-15 08:00:40+02:00,2026-04-15 08:03:20+02:00,,,,,,2026-04-15 08:06:40+02:00,2026-04-15 08:09:30+02:00,2026-04-15 08:12:40+02:00,,2026-04-15 07:50:04.202014+02:00
LORE50,,,,,,,,,,2026-04-15 08:04:38+02:00,2026-04-15 08:02:17+02:00,2026-04-15 07:59:24+02:00,2026-04-15 07:57:19+02:00,2026-04-15 07:54:52+02:00,,2026-04-15 07:50:43+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 07:50:04.202014+02:00
GUAD87,,,,,,,,,,,,,,,,,,,,,2026-04-15 07:50:17+02:00,2026-04-15 07:52:46+02:00,2026-04-15 07:54:31+02:00,2026-04-15 07:56:34+02:00,2026-04-15 07:58:21+02:00,2026-04-15 08:00:12+02:00,2026-04-15 08:03:02+02:00,2026-04-15 08:04:49+02:00,2026-04-15 08:06:23+02:00,2026-04-15 08:08:59+02:00,2026-04-15 08:11:00+02:00,2026-04-15 08:15:00+02:00,2026-04-15 08:20:10+02:00,2026-04-15 08:22:40+02:00,2026-04-15 08:25:50+02:00,2026-04-15 08:28:30+02:00,2026-04-15 08:30:40+02:00,,,,,,,,,,,2026-04-15 07:50:04.202014+02:00
ELFE53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 07:50:20+02:00,2026-04-15 07:56:00+02:00,,,,,,2026-04-15 07:50:04.202014+02:00
PUMA38,,,,,2026-04-15 07:55:58+02:00,2026-04-15 07:52:50+02:00,2026-04-15 07:50:52+02:00,2026-04-15 07:49:00+02:00,2026-04-15 07:47:03+02:00,2026-04-15 07:44:40+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 07:50:04.202014+02:00
PAUL64,,,,,2026-04-15 08:31:18+02:00,2026-04-15 08:28:10+02:00,2026-04-15 08:26:12+02:00,2026-04-15 08:24:20+02:00,2026-04-15 08:22:23+02:00,2026-04-15 08:20:00+02:00,,,,2026-04-15 08:14:09+02:00,,,,2026-04-15 08:07:34+02:00,2026-04-15 08:05:39+02:00,,2026-04-15 08:02:44+02:00,2026-04-15 08:00:01+02:00,2026-04-15 07:58:13+02:00,2026-04-15 07:56:05+02:00,2026-04-15 07:54:09+02:00,2026-04-15 07:52:27+02:00,2026-04-15 07:49:54+02:00,2026-04-15 07:47:36+02:00,,,,,,,,,,,,,,,,,,,,2026-04-15 07:50:04.202014+02:00
STIN86,,2026-04-15 08:39:31+02:00,2026-04-15 08:37:46+02:00,,,,,,,,,,,,,,,,,,2026-04-15 08:35:49+02:00,2026-04-15 08:33:01+02:00,2026-04-15 08:31:23+02:00,2026-04-15 08:29:15+02:00,2026-04-15 08:27:19+02:00,2026-04-15 08:25:32+02:00,2026-04-15 08:22:54+02:00,2026-04-15 08:20:36+02:00,2026-04-15 08:19:01+02:00,2026-04-15 08:17:09+02:00,2026-04-15 08:14:47+02:00,2026-04-15 08:11:00+02:00,2026-04-15 08:05:20+02:00,2026-04-15 08:02:30+02:00,2026-04-15 07:59:00+02:00,2026-04-15 07:56:10+02:00,2026-04-15 07:54:00+02:00,2026-04-15 07:51:50+02:00,,,,,,,,,,2026-04-15 07:50:04.202014+02:00
EMIR73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 07:50:00+02:00,2026-04-15 07:54:00+02:00,2026-04-15 07:59:10+02:00,2026-04-15 08:01:40+02:00,2026-04-15 08:04:50+02:00,2026-04-15 08:07:30+02:00,2026-04-15 08:09:40+02:00,2026-04-15 08:12:10+02:00,2026-04-15 08:15:30+02:00,2026-04-15 08:18:00+02:00,2026-04-15 08:20:20+02:00,2026-04-15 08:26:00+02:00,,,,,,2026-04-15 07:50:04.202014+02:00
