date_observation,direction,ecart_moyen,ecart_median,ecart_max
2026-04-13 20:45:08.465083,Sud,1.1428571428571428,1.0,8
2026-04-13 20:50:07.263758,Nord,5.388888888888889,4.0,14
2026-04-13 20:50:07.263758,Sud,1.125,0.5,8
2026-04-13 20:55:06.407382,Nord,3.2777777777777777,0.5,13
2026-04-13 20:55:06.407382,Sud,1.1875,1.0,8
2026-04-13 21:00:06.875935,Nord,2.5,0.5,10
2026-04-13 21:00:06.875935,Sud,1.0,0.0,8
2026-04-13 21:05:06.249957,Nord,2.0,0.0,10
2026-04-13 21:05:06.249957,Sud,0.5714285714285714,0.0,2
2026-04-13 21:10:07.297220,Nord,1.0625,0.0,9
2026-04-13 21:10:07.297220,Sud,0.6428571428571429,0.5,2
2026-04-13 21:15:08.024524,Nord,0.23076923076923078,0.0,1
2026-04-13 21:15:08.024524,Sud,0.6923076923076923,0.0,3
2026-04-13 21:20:06.088263,Nord,0.3333333333333333,0.0,1
2026-04-13 21:20:06.088263,Sud,0.6428571428571429,0.0,3
2026-04-13 21:25:07.067311,Nord,0.35714285714285715,0.0,1
2026-04-13 21:25:07.067311,Sud,0.6,0.0,3
2026-04-13 21:30:07.887843,Nord,0.46153846153846156,0.0,1
2026-04-13 21:30:07.887843,Sud,0.6923076923076923,0.0,2
2026-04-13 21:35:08.463847,Nord,0.3333333333333333,0.0,1
2026-04-13 21:35:08.463847,Sud,0.8571428571428571,1.0,4
2026-04-13 21:40:07.823461,Nord,0.23076923076923078,0.0,1
2026-04-13 21:40:07.823461,Sud,1.0,1.0,4
2026-04-13 21:45:07.271589,Nord,0.7692307692307693,1.0,4
2026-04-13 21:45:07.271589,Sud,0.7692307692307693,0.0,4
2026-04-13 21:50:08.042454,Nord,0.8333333333333334,1.0,3
2026-04-13 21:50:08.042454,Sud,0.7857142857142857,0.0,4
2026-04-13 21:55:06.230740,Nord,0.5384615384615384,0.0,3
2026-04-13 21:55:06.230740,Sud,0.8571428571428571,0.5,4
2026-04-13 22:00:06.943334,Nord,0.6666666666666666,0.0,4
2026-04-13 22:00:06.943334,Sud,0.7692307692307693,0.0,4
2026-04-13 22:05:06.573723,Nord,1.0,1.0,4
2026-04-13 22:05:06.573723,Sud,0.7857142857142857,0.5,3
2026-04-13 22:10:05.808537,Nord,1.0833333333333333,1.0,4
2026-04-13 22:10:05.808537,Sud,0.8571428571428571,0.5,4
2026-04-13 22:15:06.599250,Nord,1.75,1.5,4
2026-04-13 22:15:06.599250,Sud,0.75,0.0,4
2026-04-13 22:20:07.507215,Nord,2.0,1.5,5
2026-04-13 22:20:07.507215,Sud,0.6923076923076923,0.0,4
2026-04-13 22:25:06.436962,Nord,1.9230769230769231,1.0,5
2026-04-13 22:25:06.436962,Sud,0.7692307692307693,0.0,6
2026-04-13 22:30:07.260430,Nord,1.8333333333333333,2.0,5
2026-04-13 22:30:07.260430,Sud,1.2307692307692308,0.0,9
2026-04-13 22:35:07.173842,Nord,2.2727272727272725,1.0,6
2026-04-13 22:35:07.173842,Sud,1.5714285714285714,0.0,13
2026-04-13 22:40:07.658479,Nord,2.6666666666666665,2.0,6
2026-04-13 22:40:07.658479,Sud,0.8571428571428571,0.0,8
2026-04-13 22:45:06.841289,Nord,2.888888888888889,1.0,7
2026-04-13 22:45:06.841289,Sud,0.7692307692307693,0.0,6
2026-04-13 22:50:06.953647,Nord,3.2222222222222223,2.0,7
2026-04-13 22:50:06.953647,Sud,0.7142857142857143,0.0,6
2026-04-13 22:55:07.591563,Nord,2.125,1.0,6
2026-04-13 22:55:07.591563,Sud,0.6923076923076923,0.0,6
2026-04-13 23:00:07.031497,Nord,1.3333333333333333,0.5,6
2026-04-13 23:00:07.031497,Sud,1.6428571428571428,0.0,9
2026-04-13 23:05:06.858138,Nord,1.8,1.0,6
2026-04-13 23:05:06.858138,Sud,1.0833333333333333,0.0,9
2026-04-13 23:10:07.828890,Nord,0.6666666666666666,1.0,1
2026-04-13 23:10:07.828890,Sud,1.1666666666666667,0.0,9
