geo_point_2d;geo_shape;objectid_1;id_gares;nom_gares;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto;nom_iv
49.009756452138376, 2.5612326952251063;"{""coordinates"": [2.561232695225106, 49.009756452138376], ""type"": ""Point""}";20;743;Aéroport Charles De Gaulle 1;;;73596;Aéroport CDG 1 (Terminal 3);462398;Aéroport CDG 1 (Terminal 3) - RER;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;1;0;667900.8037;6878960.9005;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Aéroport Charles De Gaulle 1
48.79333629623622, 2.322201633670121;"{""coordinates"": [2.322201633670121, 48.79333629623622], ""type"": ""Point""}";33;45;Bagneux;;;70210;Bagneux;44493;Bagneux;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;650207.6266;6855019.5845;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Bagneux
48.70121772031537, 2.097975858420524;"{""coordinates"": [2.097975858420524, 48.70121772031537], ""type"": ""Point""}";40;219;Courcelle-sur-Yvette;;;62951;Courcelle sur Yvette;47052;Courcelle sur Yvette;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;633619.1987;6844942.8939;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Courcelle-sur-Yvette
48.93270621869947, 2.4547663827657766;"{""coordinates"": [2.454766382765777, 48.93270621869947], ""type"": ""Point""}";47;242;Drancy;;;72652;Drancy;43122;Drancy;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;1;0;660052.9226;6870441.1306;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Drancy
48.696252747814434, 2.1643782427741725;"{""coordinates"": [2.164378242774172, 48.696252747814434], ""type"": ""Point""}";63;118;Bures-sur-Yvette;;;62851;Bures-sur-Yvette;43103;Bures-sur-Yvette;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;638499.7812;6844337.1535;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Bures-sur-Yvette
48.808296588631435, 2.334354309639648;"{""coordinates"": [2.334354309639648, 48.808296588631435], ""type"": ""Point""}";173;403;Laplace;;;70427;Laplace;43607;Laplace;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;651114.3866;6856675.358;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Laplace
48.78135672132316, 2.2976476777940333;"{""coordinates"": [2.297647677794033, 48.78135672132316], ""type"": ""Point""}";273;790;Sceaux;;;74265;Sceaux;59206;Sceaux;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;648392.0449;6853703.414;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Sceaux
48.936280185651775, 2.5347149747425237;"{""coordinates"": [2.534714974742524, 48.936280185651775], ""type"": ""Point""}";276;796;Sevran-Livry;;;73439;Sevran - Livry;43194;Sevran - Livry;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;1;0;665912.7031;6870801.0786;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Sevran-Livry
48.754946525531125, 2.3009868557349513;"{""coordinates"": [2.300986855734951, 48.754946525531125], ""type"": ""Point""}";406;20;Antony;Orly;;69759;Antony;43066;Antony;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;1;648611.4025;6850764.9;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Antony
48.72509804119919, 2.259946049525822;"{""coordinates"": [2.259946049525822, 48.72509804119919], ""type"": ""Point""}";426;520;Massy-Palaiseau;;;63244;Massy - Palaiseau;58774;Massy - Palaiseau;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;1;645563.2328;6847473.8777;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Massy-Palaiseau
