mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
EPAU03,EPAU,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 12:00:43+02:00,2026-04-15 12:03:13+02:00,2026-04-15 12:05:30+02:00,2026-04-15 12:07:04+02:00,2026-04-15 12:09:10+02:00,2026-04-15 12:11:20+02:00,2026-04-15 12:15:31+02:00,2026-04-15 12:20:41+02:00,2026-04-15 12:23:11+02:00,2026-04-15 12:26:21+02:00,2026-04-15 12:29:01+02:00,2026-04-15 12:31:11+02:00,2026-04-15 12:33:41+02:00,2026-04-15 12:36:51+02:00,2026-04-15 12:39:21+02:00,2026-04-15 12:41:41+02:00,2026-04-15 12:47:21+02:00,,,,,,Cité Universitaire,17,2026-04-15 12:00:02.196211+02:00
ERIO31,ERIO,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,2026-04-15 12:49:35+02:00,2026-04-15 12:51:40+02:00,2026-04-15 12:53:28+02:00,2026-04-15 12:54:53+02:00,2026-04-15 12:56:49+02:00,2026-04-15 12:58:40+02:00,2026-04-15 13:00:28+02:00,2026-04-15 13:02:17+02:00,2026-04-15 13:05:06+02:00,2026-04-15 13:06:46+02:00,2026-04-15 13:08:49+02:00,2026-04-15 13:10:36+02:00,2026-04-15 13:12:12+02:00,2026-04-15 13:14:42+02:00,2026-04-15 13:16:59+02:00,2026-04-15 13:18:33+02:00,2026-04-15 13:20:39+02:00,2026-04-15 13:22:49+02:00,2026-04-15 13:27:00+02:00,,,,,,2026-04-15 13:42:10+02:00,,,,2026-04-15 13:54:30+02:00,,,,,,Massy - Palaiseau,21,2026-04-15 12:00:02.196211+02:00
ILUS11,ILUS,Mitry - Claye,2026-04-15 12:05:33+02:00,2026-04-15 12:07:54+02:00,2026-04-15 12:09:33+02:00,,,,,,,,,,,,,,,,,,2026-04-15 12:11:26+02:00,2026-04-15 12:14:06+02:00,2026-04-15 12:15:46+02:00,2026-04-15 12:17:49+02:00,2026-04-15 12:19:36+02:00,2026-04-15 12:21:12+02:00,2026-04-15 12:23:42+02:00,2026-04-15 12:25:59+02:00,2026-04-15 12:27:33+02:00,2026-04-15 12:29:39+02:00,2026-04-15 12:31:49+02:00,2026-04-15 12:36:00+02:00,2026-04-15 12:41:10+02:00,2026-04-15 12:43:40+02:00,2026-04-15 12:46:50+02:00,2026-04-15 12:49:30+02:00,2026-04-15 12:51:40+02:00,2026-04-15 12:54:20+02:00,,,,,,2026-04-15 12:57:40+02:00,2026-04-15 13:00:30+02:00,2026-04-15 13:03:40+02:00,,Robinson,24,2026-04-15 12:00:02.196211+02:00
SOSO14,SOSO,Robinson,,2026-04-15 12:56:26+02:00,2026-04-15 12:54:46+02:00,,,,,,,,,,,,,,,,,,2026-04-15 12:52:44+02:00,2026-04-15 12:50:11+02:00,2026-04-15 12:48:33+02:00,2026-04-15 12:46:35+02:00,2026-04-15 12:44:49+02:00,2026-04-15 12:43:02+02:00,2026-04-15 12:40:14+02:00,2026-04-15 12:38:26+02:00,2026-04-15 12:36:51+02:00,2026-04-15 12:34:29+02:00,2026-04-15 12:32:57+02:00,2026-04-15 12:29:50+02:00,2026-04-15 12:24:10+02:00,2026-04-15 12:21:20+02:00,2026-04-15 12:17:50+02:00,2026-04-15 12:15:00+02:00,2026-04-15 12:12:50+02:00,2026-04-15 12:10:30+02:00,,,,,,2026-04-15 12:05:50+02:00,2026-04-15 12:02:40+02:00,,,Vert Galant,22,2026-04-15 12:00:02.196211+02:00
SOSO38,SOSO,Robinson,,2026-04-15 13:56:26+02:00,2026-04-15 13:54:46+02:00,,,,,,,,,,,,,,,,,,2026-04-15 13:52:44+02:00,2026-04-15 13:50:11+02:00,2026-04-15 13:48:33+02:00,2026-04-15 13:46:35+02:00,2026-04-15 13:44:49+02:00,2026-04-15 13:43:02+02:00,2026-04-15 13:40:14+02:00,2026-04-15 13:38:26+02:00,2026-04-15 13:36:51+02:00,2026-04-15 13:34:29+02:00,2026-04-15 13:32:07+02:00,2026-04-15 13:29:00+02:00,2026-04-15 13:23:20+02:00,2026-04-15 13:20:30+02:00,2026-04-15 13:17:00+02:00,2026-04-15 13:14:10+02:00,2026-04-15 13:12:00+02:00,2026-04-15 13:09:50+02:00,,,,,,2026-04-15 13:06:10+02:00,2026-04-15 13:03:00+02:00,2026-04-15 12:59:50+02:00,2026-04-15 12:56:00+02:00,Mitry - Claye,24,2026-04-15 12:00:02.196211+02:00
ERIC95,ERIC,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 12:00:30+02:00,,,,,,2026-04-15 12:15:40+02:00,,,,2026-04-15 12:28:00+02:00,,,,,,Gare du Nord,3,2026-04-15 12:00:02.196211+02:00
EPAF91,EPAF,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 12:00:40+02:00,2026-04-15 12:03:10+02:00,2026-04-15 12:06:20+02:00,2026-04-15 12:08:50+02:00,2026-04-15 12:11:10+02:00,2026-04-15 12:16:50+02:00,,,,,,Le Blanc-Mesnil,6,2026-04-15 12:00:02.196211+02:00
ILUS17,ILUS,Mitry - Claye,2026-04-15 12:20:33+02:00,2026-04-15 12:22:54+02:00,2026-04-15 12:24:33+02:00,,,,,,,,,,,,,,,,,,2026-04-15 12:26:26+02:00,2026-04-15 12:29:06+02:00,2026-04-15 12:30:46+02:00,2026-04-15 12:32:49+02:00,2026-04-15 12:34:36+02:00,2026-04-15 12:36:12+02:00,2026-04-15 12:38:42+02:00,2026-04-15 12:40:59+02:00,2026-04-15 12:42:33+02:00,2026-04-15 12:44:39+02:00,2026-04-15 12:46:49+02:00,2026-04-15 12:51:00+02:00,2026-04-15 12:56:10+02:00,2026-04-15 12:58:40+02:00,2026-04-15 13:01:50+02:00,2026-04-15 13:04:30+02:00,2026-04-15 13:06:40+02:00,2026-04-15 13:09:20+02:00,,,,,,2026-04-15 13:12:40+02:00,2026-04-15 13:15:30+02:00,2026-04-15 13:18:40+02:00,,Robinson,24,2026-04-15 12:00:02.196211+02:00
SOSO26,SOSO,Robinson,,2026-04-15 13:26:26+02:00,2026-04-15 13:24:46+02:00,,,,,,,,,,,,,,,,,,2026-04-15 13:22:44+02:00,2026-04-15 13:20:11+02:00,2026-04-15 13:18:33+02:00,2026-04-15 13:16:35+02:00,2026-04-15 13:14:49+02:00,2026-04-15 13:13:02+02:00,2026-04-15 13:10:14+02:00,2026-04-15 13:08:26+02:00,2026-04-15 13:06:51+02:00,2026-04-15 13:04:29+02:00,2026-04-15 13:02:07+02:00,2026-04-15 12:59:00+02:00,2026-04-15 12:53:20+02:00,2026-04-15 12:50:30+02:00,2026-04-15 12:47:00+02:00,2026-04-15 12:44:10+02:00,2026-04-15 12:42:00+02:00,2026-04-15 12:39:50+02:00,,,,,,2026-04-15 12:36:10+02:00,2026-04-15 12:33:00+02:00,2026-04-15 12:29:50+02:00,2026-04-15 12:26:00+02:00,Mitry - Claye,24,2026-04-15 12:00:02.196211+02:00
EPAU21,EPAU,Aéroport Charles de Gaulle 2 (Terminal 2),,,,2026-04-15 12:06:55+02:00,2026-04-15 12:09:56+02:00,2026-04-15 12:13:03+02:00,2026-04-15 12:14:59+02:00,2026-04-15 12:16:41+02:00,2026-04-15 12:19:01+02:00,2026-04-15 12:21:25+02:00,2026-04-15 12:23:22+02:00,2026-04-15 12:25:46+02:00,2026-04-15 12:27:32+02:00,2026-04-15 12:29:44+02:00,,,,2026-04-15 12:34:59+02:00,2026-04-15 12:36:50+02:00,,2026-04-15 12:39:26+02:00,,,,,2026-04-15 12:45:12+02:00,2026-04-15 12:47:42+02:00,2026-04-15 12:49:59+02:00,2026-04-15 12:51:33+02:00,2026-04-15 12:53:39+02:00,2026-04-15 12:55:49+02:00,2026-04-15 13:00:00+02:00,2026-04-15 13:05:10+02:00,2026-04-15 13:07:40+02:00,2026-04-15 13:10:50+02:00,2026-04-15 13:13:30+02:00,2026-04-15 13:15:40+02:00,2026-04-15 13:18:10+02:00,2026-04-15 13:21:20+02:00,2026-04-15 13:23:50+02:00,2026-04-15 13:26:10+02:00,2026-04-15 13:31:50+02:00,,,,,,Saint-Rémy-lès-Chevreuse,31,2026-04-15 12:00:02.196211+02:00
PIST34,PIST,Saint-Rémy-lès-Chevreuse,,,,,2026-04-15 14:10:56+02:00,2026-04-15 14:07:43+02:00,2026-04-15 14:05:50+02:00,2026-04-15 14:03:58+02:00,2026-04-15 14:01:41+02:00,2026-04-15 13:59:23+02:00,2026-04-15 13:57:02+02:00,2026-04-15 13:54:09+02:00,2026-04-15 13:52:04+02:00,2026-04-15 13:49:12+02:00,,,,2026-04-15 13:44:12+02:00,2026-04-15 13:42:32+02:00,,2026-04-15 13:39:32+02:00,,,,,2026-04-15 13:34:02+02:00,2026-04-15 13:31:14+02:00,2026-04-15 13:29:26+02:00,2026-04-15 13:27:51+02:00,2026-04-15 13:25:29+02:00,2026-04-15 13:23:07+02:00,2026-04-15 13:20:00+02:00,2026-04-15 13:14:20+02:00,2026-04-15 13:11:30+02:00,2026-04-15 13:08:00+02:00,2026-04-15 13:05:10+02:00,2026-04-15 13:03:00+02:00,2026-04-15 13:00:50+02:00,2026-04-15 12:57:10+02:00,2026-04-15 12:54:20+02:00,2026-04-15 12:52:20+02:00,2026-04-15 12:47:10+02:00,2026-04-15 12:44:20+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),31,2026-04-15 12:00:02.196211+02:00
